1.78;4.90;8.37
-0.47;4.72;9.75
-0.66;3.05;6.95
-0.57;3.49;7.17
0.06;3.90;9.87
0.74;2.52;6.87
-0.39;2.77;7.39
-0.64;3.54;10.83
-0.32;2.27;11.43
-0.86;2.70;6.68
-1.14;4.27;9.25
1.02;3.08;14.44
1.05;2.08;7.36
0.62;4.07;10.44
-0.53;1.16;12.46
0.60;2.45;8.35
0.61;3.35;9.53
0.57;2.06;11.50
1.04;2.57;7.67
0.09;3.96;9.13
-0.44;1.68;12.15
0.23;2.73;7.15
-0.05;3.90;9.60
0.82;2.15;10.45
1.50;2.41;9.44
0.98;4.38;9.09
0.60;1.38;8.44
1.75;3.05;8.54
2.25;3.60;9.83
1.53;3.07;10.76
0.99;3.25;9.11
-0.98;3.15;12.31
