-0.70;3.78;7.83
0.20;3.36;9.67
2.80;2.86;6.46
0.42;4.01;9.50
-0.63;1.44;8.88
0.50;3.02;8.19
1.03;3.17;9.89
0.95;2.01;8.59
0.66;3.87;7.01
-0.16;2.20;9.02
0.05;3.00;10.38
-0.12;4.27;9.33
2.40;3.08;9.22
0.85;2.68;8.45
-0.78;2.75;10.77
0.24;3.14;9.26
0.08;1.93;6.83
1.02;3.44;9.09
0.44;2.65;10.75
1.54;2.71;6.77
0.32;3.40;12.57
0.64;2.60;7.97
-0.67;2.54;10.14
1.47;4.84;11.35
0.03;2.57;7.25
-0.37;3.45;12.04
1.53;2.97;8.16
1.45;2.21;7.52
1.97;3.73;8.31
2.03;2.79;6.90
1.47;4.09;7.95
0.68;3.75;11.11
0.58;2.17;8.50
0.60;3.06;8.90
1.05;2.24;11.74
0.28;2.24;6.03
-0.15;3.81;10.44
0.08;3.15;8.71
0.35;2.85;7.30
1.98;3.83;10.52
0.64;2.55;7.47
0.26;4.74;10.38
-0.15;2.60;10.04
0.02;3.21;7.35
1.00;3.78;10.68
-0.07;2.49;7.48
0.87;4.25;7.04
-0.69;4.86;11.20
1.59;3.12;7.76
1.15;3.59;8.96
1.12;2.42;12.23
0.71;2.29;7.68
0.26;3.91;12.38
-0.62;2.13;6.59
0.89;2.99;6.85
1.58;2.97;11.15
1.03;3.01;7.88
-0.70;3.84;10.96
-0.34;1.83;10.22
0.20;2.73;8.19
2.67;3.85;10.90
1.12;2.80;7.58
0.11;3.35;7.61
0.00;3.66;12.11
0.51;2.81;9.34
0.52;3.58;9.66
-0.06;1.46;12.78
-0.36;2.76;6.41
-1.36;3.75;13.88
-0.67;2.08;6.62
-0.14;2.45;8.37
0.22;2.77;10.04
1.09;2.98;7.75
0.57;4.26;8.13
-1.09;1.88;15.87
0.68;3.12;6.87
2.32;2.93;10.98
0.56;3.25;9.15
0.12;2.99;7.00
0.36;3.73;9.56
-0.06;2.30;7.52
0.04;2.76;8.28
0.53;2.13;15.75
0.33;2.68;7.97
-0.52;3.80;10.72
-0.55;1.80;9.66
1.15;2.76;5.90
1.61;3.54;10.37
1.46;3.23;6.36
-0.15;3.19;8.21
0.74;3.38;10.32
1.34;2.96;8.67
-0.03;3.70;8.95
-0.42;2.92;6.82
-1.28;2.29;9.18
-1.29;1.92;8.63
0.99;3.02;8.44
1.76;2.56;10.20
1.65;2.18;10.75
1.14;3.20;8.03
-0.32;2.92;13.69
1.60;2.71;9.27
0.38;4.13;8.68
1.52;2.77;12.55
2.48;2.39;10.44
-0.51;2.34;9.77
-0.97;2.05;12.33
-0.40;2.36;10.30
0.56;3.94;10.27
-1.01;2.46;13.00
